hostname,index,port,address,media,speed,state,proto,details
switch01,0,0,010000,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:19:36
switch01,1,1,010100,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:19:8e
switch01,2,2,010200,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:19:6c
switch01,3,3,010300,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:19:18
switch01,4,4,010400,id,N32,Online,FC,F-Port  50:06:0e:80:21:3a:4c:00
switch01,5,5,010500,id,N32,Online,FC,F-Port  50:06:0e:80:21:3a:4c:20
switch01,6,6,010600,id,N32,No_Light,FC,
switch01,7,7,010700,id,N32,No_Light,FC,
switch01,8,8,010800,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:19:12
switch01,9,9,010900,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a1:a4:72
switch01,10,10,010a00,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a1:a4:84
switch01,11,11,010b00,id,N32,No_Light,FC,
switch01,12,12,010c00,id,N32,Online,FC,F-Port  1 N Port + 1 NPIV public
switch01,13,13,010d00,id,N32,Online,FC,F-Port  1 N Port + 1 NPIV public
switch01,14,14,010e00,id,N32,No_Light,FC,
switch01,15,15,010f00,id,N32,No_Light,FC,
switch01,16,16,011000,id,N32,No_Light,FC,
switch01,17,17,011100,id,N32,No_Light,FC,
switch01,18,18,011200,id,N32,No_Light,FC,
switch01,19,19,011300,id,N32,No_Light,FC,
switch01,20,20,011400,id,N32,No_Light,FC,
switch01,21,21,011500,id,N32,No_Light,FC,
switch01,22,22,011600,id,N32,No_Light,FC,
switch01,23,23,011700,id,N32,No_Light,FC,
switch01,24,24,011800,id,N32,No_Light,FC,
switch01,25,25,011900,id,N32,No_Light,FC,
switch01,26,26,011a00,id,N32,No_Light,FC,
switch01,27,27,011b00,id,N32,No_Light,FC,
switch01,28,28,011c00,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:16:db
switch01,29,29,011d00,id,N16,Online,FC,F-Port  21:00:f4:c7:aa:a0:16:d3
switch01,30,30,011e00,id,N32,No_Light,FC,
switch01,31,31,011f00,id,N32,No_Light,FC,
switch01,32,32,012000,id,N32,No_Light,FC,
switch01,33,33,012100,id,N32,No_Light,FC,
switch01,34,34,012200,id,N32,No_Light,FC,
switch01,35,35,012300,id,N32,No_Light,FC,
switch01,36,36,012400,id,N32,Online,FC,F-Port  50:02:18:83:62:21:04:ce
switch01,37,37,012500,id,N32,No_Light,FC,
switch01,38,38,012600,id,N32,No_Light,FC,
switch01,39,39,012700,id,N32,No_Light,FC,
switch01,40,40,012800,id,N16,Online,FC,F-Port  21:00:00:24:ff:18:2b:45
switch01,41,41,012900,id,N16,Online,FC,F-Port  21:00:00:24:ff:18:2b:49
switch01,42,42,012a00,id,N16,Online,FC,F-Port  21:00:00:24:ff:18:d5:c5
switch01,43,43,012b00,id,N32,No_Light,FC,
switch01,44,44,012c00,id,N32,Online,FC,F-Port  50:06:0e:80:28:29:cb:00
switch01,45,45,012d00,id,N32,Online,FC,F-Port  50:06:0e:80:28:29:cb:20
switch01,46,46,012e00,id,N32,No_Light,FC,
switch01,47,47,012f00,id,N32,No_Light,FC,
switch01,48,48,013000,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,49,49,013100,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,50,50,013200,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,51,51,013300,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,52,52,013400,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,53,53,013500,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,54,54,013600,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,55,55,013700,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,56,56,013800,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,57,57,013900,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,58,58,013a00,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,59,59,013b00,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,60,60,013c00,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,61,61,013d00,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,62,62,013e00,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
switch01,63,63,013f00,--,N64,No_Module,FC,(No Ports on Demand license) Disabled
