hostname,neighbor_name,local_interface,capabilities,platform,neighbor_interface
ciscol21,IDC1_1G_CLDSW_02(FDO22421Z5N),Eth1/48,R S s,N9K-C9348GC-FXP,Eth1/48
ciscol21,IDC1_1G_CLDSW_02(FDO22421Z5N),Eth1/49,R S I s,N9K-C9348GC-FXP,Eth1/49
ciscol21,IDC1_1G_CLDSW_02(FDO22421Z5N),Eth1/50,R S I s,N9K-C9348GC-FXP,Eth1/50
ciscol21,IDC1_MGT_BB_1(FDO2249045U),Eth1/51,R S I s,N9K-C93180YC-EX,Eth1/26
ciscol21,IDC1_CORE_1(FDO22423A6G),Eth1/53,R S I s,N9K-C9364C,Eth1/21
ciscol22,IDC1_1G_CLDSW_02(FDO22421Z5N),Eth1/48,R S s,N9K-C9348GC-FXP,Eth1/48
ciscol22,IDC1_1G_CLDSW_02(FDO22421Z5N),Eth1/49,R S I s,N9K-C9348GC-FXP,Eth1/49
ciscol22,IDC1_1G_CLDSW_02(FDO22421Z5N),Eth1/50,R S I s,N9K-C9348GC-FXP,Eth1/50
ciscol22,IDC1_MGT_BB_1(FDO2249045U),Eth1/51,R S I s,N9K-C93180YC-EX,Eth1/26
ciscol22,IDC1_CORE_1(FDO22423A6G),Eth1/53,R S I s,N9K-C9364C,Eth1/21
